File Name and Path,Number of commits
dev/com.ibm.ws.jdbc/src/com/ibm/ws/rsadapter/DSConfig.java,2
dev/com.ibm.ws.jdbc/src/com/ibm/ws/rsadapter/impl/OracleHelper.java,7
dev/com.ibm.ws.jdbc_fat_krb5/fat/src/com/ibm/ws/jdbc/fat/krb5/OracleKerberosTest.java,2
dev/com.ibm.ws.jdbc_fat_krb5/publish/servers/com.ibm.ws.jdbc.fat.krb5.oracle/server.xml,3
dev/com.ibm.ws.jdbc_fat_krb5/test-applications/krb5-oracle-app/src/jdbc/krb5/oracle/web/OracleKerberosTestServlet.java,2
dev/fattest.simplicity/src/componenttest/topology/impl/LibertyServer.java,4
dev/com.ibm.websphere.appserver.features/visibility/auto/{io.openliberty.batchManagement2.0-messaging3.0.feature => io.openliberty.batchManagement1.0-messaging3.0.feature},2
dev/com.ibm.websphere.appserver.features/visibility/auto/io.openliberty.batchManagement1.0.javaee.feature,2
dev/com.ibm.websphere.appserver.features/visibility/auto/javaBatch-1.0/com.ibm.websphere.appserver.adminCenter.tool.javaBatch-1.0.feature,4
dev/com.ibm.websphere.appserver.features/visibility/private/io.openliberty.batchManagement1.0.internal.ee-7.0.feature,2
dev/com.ibm.websphere.appserver.features/visibility/private/io.openliberty.batchManagement1.0.internal.ee-9.0.feature,2
dev/com.ibm.websphere.appserver.features/visibility/public/batchManagement-1.0/com.ibm.websphere.appserver.batchManagement-1.0.feature,2
dev/fattest.simplicity/src/componenttest/rules/repeater/EE7FeatureReplacementAction.java,2
dev/fattest.simplicity/src/componenttest/rules/repeater/EE8FeatureReplacementAction.java,2
dev/fattest.simplicity/src/componenttest/rules/repeater/JakartaEE9Action.java,2
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_cs.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_de.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_es.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_fr.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_hu.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_it.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_ja.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_ko.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_pl.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_pt_BR.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_ro.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_ru.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_zh.properties,1
dev/com.ibm.ws.logging.osgi/resources/OSGI-INF/l10n/metatype_zh_TW.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_cs.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_de.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_es.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_fr.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_hu.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_it.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_ja.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_ko.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_pl.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_pt_BR.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_ro.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_ru.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_zh.properties,1
dev/com.ibm.ws.logging/resources/OSGI-INF/l10n/metatype_zh_TW.properties,1
dev/com.ibm.websphere.appserver.spi.kernel.service/bnd.bnd,5
dev/com.ibm.ws.config.variables_fat/fat/src/test/server/config/ServiceBindingVarTests.java,2
dev/com.ibm.ws.config.variables_fat/publish/files/varfiles/multiple/unix/server.env,2
dev/com.ibm.ws.config.variables_fat/publish/files/varfiles/multiple/win/server.env,2
dev/com.ibm.ws.config.variables_fat/publish/files/varfiles/server.env,2
dev/com.ibm.ws.config.variables_fat/publish/files/varfiles/updated/simple,2
dev/com.ibm.ws.config.variables_fat/publish/files/varfiles/updated/simpleTwo,2
dev/com.ibm.ws.config.variables_fat/publish/files/varfiles/{bindings => variables}/ignoreme,2
dev/com.ibm.ws.config.variables_fat/publish/servers/com.ibm.ws.config.svcbinding.mbean/{bindings => variables}/account_db/password,2
dev/com.ibm.ws.config.variables_fat/publish/servers/com.ibm.ws.config.svcbinding.mbean/{bindings => variables}/account_db/username,2
dev/com.ibm.ws.config.variables_fat/publish/servers/com.ibm.ws.config.svcbinding.mbean/{bindings => variables}/simple,2
dev/com.ibm.ws.config.variables_fat/test-applications/varmerge/src/test/config/merged/ServiceBindingVarServlet.java,2
dev/com.ibm.ws.config/src/com/ibm/ws/config/xml/ConfigVariables.java,2
dev/com.ibm.ws.config/src/com/ibm/ws/config/xml/LibertyVariable.java,2
dev/com.ibm.ws.config/src/com/ibm/ws/config/xml/internal/ConfigComparator.java,2
dev/com.ibm.ws.config/src/com/ibm/ws/config/xml/internal/variables/ConfigVariableRegistry.java,4
dev/com.ibm.ws.config/src/com/ibm/ws/config/xml/internal/variables/VariableMonitor.java,2
dev/com.ibm.ws.diagnostics/src/com/ibm/ws/diagnostics/osgi/ConfigVariableIntrospection.java,2
dev/com.ibm.ws.junit.extensions/src/test/common/SharedLocationManager.java,2
dev/com.ibm.ws.kernel.boot.core/src/com/ibm/ws/kernel/boot/BootstrapConfig.java,2
dev/com.ibm.ws.kernel.boot.core/src/com/ibm/ws/kernel/boot/BootstrapLocations.java,2
dev/com.ibm.ws.kernel.boot.core/src/com/ibm/ws/kernel/boot/Launcher.java,2
